GKEY,TRUCK_ENTERED,EDATE,PHOUR,EXITED,PICK_YARD_POS,PICK_ROW_NBR,tv_trans_count,DROP_POS_ID,DROP_POS,DIST,DROP_ROW_NBR,DROP_POS_ID_FLD,DROP_POS_FLD,DIST_FLD,DROP_ROW_NBR_FLD,TT_MIN,TGT_TT,ROW_Feature,RTG,HAD_TROUBLE,TRK_IN_BTW,TRK_OPP,TOT,TRK_IN_ROW,TIER,AVG_30_MIN,RTG_Count
11512113,17-JAN-19 14:03:49,2019-01-17,14,17-JAN-19 16:10:20,457,L,2,255B1.B,255,662,B,255B1.B,255,672,B,90,3,13,RTG11,0,0,13,13,43,3,58.22222222,4
11510706,17-JAN-19 10:14:44,2019-01-17,10,17-JAN-19 13:20:51,272,J,2,114H3.B,114,618,H,114H3.B,114,628,H,91,3,10,RTG7,0,0,17,17,54,2,58.84615385,4
11511312,17-JAN-19 11:54:22,2019-01-17,12,17-JAN-19 13:44:15,370,K,2,272M7.D,272,558,M,272N1.B,272,568,N,91,3,4,RTG13,0,0,8,8,24,3,28.54545455,3
11509798,17-JAN-19 07:45:16,2019-01-17,8,17-JAN-19 09:48:45,75,J,2,101D2.C,101,434,D,101D2.C,101,444,D,92,3,13,RTG8,0,6,5,11,22,4,27.5,2
11509907,17-JAN-19 08:06:21,2019-01-17,8,17-JAN-19 10:37:15,159,I,2,453E4.C,453,166,E,453E5.D,453,176,E,92,3,13,RTG10,0,8,1,9,25,1,20,2
11509937,17-JAN-19 08:11:02,2019-01-17,8,17-JAN-19 09:59:38,370,K,2,430M11.D,430,400,M,430M12.B,430,410,M,92,3,4,RTG20,0,0,8,8,25,1,2.75,2
11511884,17-JAN-19 13:27:29,2019-01-17,13,17-JAN-19 16:06:50,457,K,2,381A3.B,381,536,A,381A3.C,381,546,A,92,3,15,RTG20,0,0,5,5,40,2,45.77777778,2
11511646,17-JAN-19 12:50:28,2019-01-17,13,17-JAN-19 15:08:01,384,H,2,176B8.C,176,668,B,176B8.B,176,678,B,92,3,17,RTG4,0,3,9,12,17,1,27.5,1
11510695,17-JAN-19 10:13:09,2019-01-17,10,17-JAN-19 12:26:32,118,J,2,122B2.B,122,456,B,122B3.B,122,466,B,94,3,15,RTG7,0,0,15,15,52,1,55.83333333,4
11512645,17-JAN-19 15:22:43,2019-01-17,15,17-JAN-19 18:45:51,425,K,2,325N1.B,325,560,N,323N3.D,323,572,N,94,3,3,RTG5,0,2,24,26,63,1,38.625,3
